Transcript stable ID version	UniProtKB/Swiss-Prot ID
ENST00000572233.1	
ENST00000400069.7	Q9P272
ENST00000525791.5	Q9NY30
ENST00000508256.5	
ENST00000534713.5	
ENST00000557021.5	
ENST00000510548.6	
ENST00000389879.9	O75909
ENST00000456861.2	
ENST00000528753.2	Q9P272
ENST00000251287.3	Q9UL51
ENST00000524983.3	A6NMT0
ENST00000533537.5	
ENST00000561272.5	
ENST00000532376.2	
ENST00000557441.5	
ENST00000396005.8	Q1EHB4
ENST00000617119.4	
ENST00000514204.1	
ENST00000530486.5	
ENST00000370973.2	
ENST00000505022.1	
ENST00000420027.3	
ENST00000555049.5	
ENST00000216452.9	Q14442
ENST00000522111.3	Q6NT89
ENST00000509340.1	
ENST00000471243.2	
ENST00000555842.1	
ENST00000531285.1	
ENST00000491076.1	
ENST00000558987.5	
ENST00000527405.5	
ENST00000575391.5	Q6A163
ENST00000286890.8	Q9BX51
ENST00000527864.1	
ENST00000381989.4	Q9UKK3
ENST00000523300.5	
ENST00000280467.10	Q1EHB4
ENST00000370971.1	
ENST00000560722.5	
ENST00000580328.1	
ENST00000533617.5	
ENST00000558493.1	
ENST00000558198.5	
ENST00000637395.1	
ENST00000561303.5	
ENST00000558001.1	
ENST00000496168.1	P01602
ENST00000557434.5	Q99538
ENST00000559581.5	
ENST00000559415.1	
ENST00000393218.6	Q99538
ENST00000531293.1	O00631
ENST00000278765.8	Q9BX51
ENST00000464162.1	A0A0C4DH72
ENST00000525934.1	O00631
ENST00000557609.5	
ENST00000373857.8	P25105
ENST00000531713.5	
ENST00000335694.4	Q9BX51
ENST00000305991.3	O00631
ENST00000392219.7	Q96DB9
ENST00000305392.3	P25105
ENST00000475313.5	
ENST00000539896.1	P25105
ENST00000556097.5	
ENST00000390247.2	
ENST00000313386.9	Q96G75
ENST00000519850.5	
ENST00000554189.5	
ENST00000370982.4	Q9UBI6
ENST00000652175.1	
ENST00000592290.5	
ENST00000396893.6	
ENST00000515098.5	Q96G75
ENST00000553802.5	
ENST00000495489.1	A0A0C4DH67
ENST00000249075.4	P15018
ENST00000541435.6	Q96DB9
ENST00000554397.5	
ENST00000651045.1	
ENST00000356206.10	
ENST00000590686.5	Q96DB9
ENST00000554919.5	
ENST00000344408.10	Q86UK5
ENST00000403987.3	P15018
ENST00000417105.6	
ENST00000370981.3	O95661
ENST00000554080.5	
ENST00000588268.6	Q8TAF7
ENST00000646789.1	O95661
ENST00000496493.5	
ENST00000650433.1	
ENST00000378988.5	O15479
ENST00000329153.10	Q9ULM0
ENST00000310917.6	Q86UK5
ENST00000553371.1	
ENST00000502814.5	
ENST00000372736.3	
ENST00000360357.8	
ENST00000512663.5	
ENST00000553918.1	
ENST00000342879.7	Q96DB9
ENST00000400239.6	
ENST00000262457.7	Q9Y283
ENST00000358689.9	Q9Y227
ENST00000370109.8	Q9H2P9
ENST00000507457.5	
ENST00000642679.1	
ENST00000588699.5	
ENST00000509670.1	
ENST00000508647.5	
ENST00000417069.6	Q9Y227
ENST00000353703.9	P31946
ENST00000294623.8	Q96AE4
ENST00000372336.4	Q8N2G6
ENST00000591370.5	
ENST00000512811.5	
ENST00000423817.7	Q96DB9
ENST00000557148.5	
ENST00000372333.3	
ENST00000590361.5	
ENST00000479421.5	
ENST00000262456.6	Q9Y283
ENST00000617231.5	
ENST00000588844.1	
ENST00000342173.11	Q9H2P9
ENST00000370768.6	Q96AE4
ENST00000392217.3	Q96DB9
ENST00000592829.5	
ENST00000519839.1	
ENST00000374921.3	Q9Y283
ENST00000370767.5	
ENST00000518718.1	
ENST00000372839.7	P31946
ENST00000520908.6	Q92608
ENST00000542098.2	
ENST00000614133.4	
ENST00000618437.1	
ENST00000375647.5	Q9NUA8
ENST00000428262.1	
ENST00000593136.2	
ENST00000421641.1	
ENST00000488176.1	Q9H2P9
ENST00000591969.1	
ENST00000445830.1	
ENST00000398145.6	Q9NQG7
ENST00000404138.5	Q9NUA8
ENST00000374651.8	
ENST00000633979.1	
ENST00000611074.4	
ENST00000615032.4	Q8IY67
ENST00000427040.2	
ENST00000358353.8	
ENST00000247883.5	Q9NYW4
ENST00000648187.1	
ENST00000636244.1	
ENST00000389131.8	Q9Y4K0
ENST00000415576.6	Q8TAA3
ENST00000289166.6	Q96A09
ENST00000360768.5	Q8N0U8
ENST00000393708.3	Q6P4F2
ENST00000405239.5	Q9NQZ3
ENST00000341698.2	
ENST00000374201.8	Q68DX3
ENST00000434382.2	Q8N0U8
ENST00000274606.7	Q9NX24
ENST00000538664.2	
ENST00000561370.5	
ENST00000446855.6	
ENST00000401766.6	P31645
ENST00000361644.3	O15480
ENST00000397542.7	Q9HBB8
ENST00000648179.1	Q8N0U8
ENST00000382510.8	Q9NQZ3
ENST00000305531.3	Q68DX3
ENST00000314397.8	
ENST00000579221.5	
ENST00000523833.2	
ENST00000559362.5	
ENST00000297268.11	P08123
ENST00000540248.5	
ENST00000502263.1	
ENST00000429411.5	
ENST00000603296.5	
ENST00000520349.1	
ENST00000560302.5	Q12802
ENST00000514354.5	
ENST00000561057.1	
ENST00000492239.5	
ENST00000373970.4	O94907
ENST00000632789.1	
ENST00000518878.5	
ENST00000511078.1	
ENST00000620842.1	O15480
ENST00000631508.1	Q7Z7B1
ENST00000455660.6	P28062
ENST00000394821.2	
ENST00000343848.10	Q8TAA3
ENST00000620725.1	
ENST00000494368.5	
ENST00000650711.1	P31645
ENST00000559168.1	
ENST00000436627.2	P28062
ENST00000464362.5	
ENST00000524185.5	
ENST00000426000.6	
ENST00000616581.2	Q7Z7B1
ENST00000261707.7	P31645
ENST00000246896.8	P15515
ENST00000524144.5	
ENST00000308268.10	Q8TAA3
ENST00000402105.7	Q9NQG7
ENST00000520871.1	
ENST00000523684.5	
ENST00000336873.9	Q9NQG7
ENST00000518083.5	
ENST00000519734.5	
ENST00000612461.1	
ENST00000227507.3	P24385
ENST00000439453.5	
ENST00000524168.1	
ENST00000511674.5	P15515
ENST00000269703.8	Q6NT55
ENST00000591107.6	
ENST00000334049.11	P38405
ENST00000519243.1	
ENST00000590723.5	
ENST00000536559.1	
ENST00000601005.2	Q6NT55
ENST00000593280.2	
ENST00000531177.5	
ENST00000292614.9	P52435
ENST00000610341.1	P15515
ENST00000349570.11	
ENST00000393794.4	
ENST00000586150.5	
ENST00000674088.1	Q9HBB8
ENST00000422379.2	
ENST00000555638.5	Q8NBD8
ENST00000526077.5	
ENST00000371383.7	Q9UJA9
ENST00000361671.10	Q5VZE5
ENST00000534311.1	
ENST00000531088.5	
ENST00000557006.5	Q8NBD8
ENST00000228872.9	P46527
ENST00000326139.7	Q02643
ENST00000554278.5	
ENST00000535121.5	P38405
ENST00000396340.1	
ENST00000376040.2	Q5VZE5
ENST00000230565.3	Q9UJA9
ENST00000442489.1	
ENST00000554480.5	
ENST00000519628.1	
ENST00000555994.5	
ENST00000263174.9	Q9NP74
ENST00000269162.9	P38405
ENST00000620463.1	
ENST00000368012.4	Q96NY8
ENST00000433448.2	
ENST00000557779.1	
ENST00000605497.5	
ENST00000632828.1	
ENST00000357461.6	Q8NBD8
ENST00000215906.6	Q6ICH7
ENST00000423027.7	P38405
ENST00000443491.6	Q08495
ENST00000329722.8	Q6P5S2
ENST00000585642.5	
ENST00000615664.1	Q9NP74
ENST00000468709.5	
ENST00000540750.5	
ENST00000409904.7	
ENST00000427870.6	P28065
ENST00000160262.10	P32942
ENST00000590228.1	
ENST00000442544.7	P43146
ENST00000360945.7	Q6UXN7
ENST00000434083.5	
ENST00000482452.5	
ENST00000517600.5	Q08495
ENST00000578080.1	
ENST00000592945.1	
ENST00000455846.5	
ENST00000557754.1	
ENST00000589261.5	
ENST00000602628.1	P38405
ENST00000525451.6	P23528
ENST00000523782.6	Q08495
ENST00000582875.1	
ENST00000592439.1	
ENST00000425855.2	
ENST00000586926.1	
ENST00000585439.1	
ENST00000560606.5	Q6ZRY4
ENST00000304775.12	
ENST00000223862.2	P04808
ENST00000226382.4	Q99453
ENST00000523623.5	
ENST00000374864.9	Q96J02
ENST00000590569.1	
ENST00000579349.1	
ENST00000370664.4	Q9HAC8
ENST00000520174.5	
ENST00000589249.1	
ENST00000581559.1	
ENST00000354105.10	Q69YN2
ENST00000517804.5	
ENST00000272645.9	O15514
ENST00000589580.1	
ENST00000289575.10	
ENST00000538554.6	
ENST00000535650.7	Q96J02
ENST00000409955.1	
ENST00000377374.8	Q504Y0
ENST00000300069.5	Q6ZRY4
ENST00000635978.1	
ENST00000670516.1	
ENST00000265800.9	Q08495
ENST00000532236.5	
ENST00000409698.1	
ENST00000377371.3	Q504Y0
ENST00000527344.5	
ENST00000517418.5	
ENST00000344450.9	Q9NRW4
ENST00000473842.1	
ENST00000368680.4	P16066
ENST00000269228.10	O15118
ENST00000665484.1	
ENST00000292616.10	Q9UFC0
ENST00000238994.6	Q9UQK1
ENST00000330430.10	Q14206
ENST00000531407.5	
ENST00000523266.5	Q08495
ENST00000401604.8	Q13976
ENST00000581580.5	
ENST00000377369.7	Q504Y0
ENST00000403903.7	P0C6A0
ENST00000524553.5	
ENST00000371374.5	Q14206
ENST00000519907.5	Q08495
ENST00000578949.1	
ENST00000645324.1	
ENST00000525650.5	
ENST00000306764.11	Q14206
ENST00000279147.8	Q8WV07
ENST00000664852.1	
ENST00000534769.5	
ENST00000403352.1	
ENST00000591051.1	
ENST00000415253.5	Q08495
ENST00000260191.7	O95264
ENST00000373980.10	Q13976
ENST00000654846.1	
ENST00000665428.1	
ENST00000660337.1	
ENST00000531413.5	
ENST00000539911.5	Q504Y0
ENST00000579941.1	
ENST00000454962.6	O94956
ENST00000643704.1	
ENST00000522340.5	
ENST00000536870.5	
ENST00000586529.1	
ENST00000405162.2	
ENST00000532134.5	
ENST00000537778.5	O95264
ENST00000643582.1	
ENST00000262650.10	Q96J02
ENST00000373976.9	
ENST00000519333.6	
ENST00000530413.1	
ENST00000537272.6	
ENST00000530556.5	
ENST00000412726.5	
ENST00000543092.1	
ENST00000534004.5	
ENST00000381470.7	Q08495
ENST00000535657.5	Q8WV07
ENST00000665346.1	
ENST00000534784.1	
ENST00000452032.6	
ENST00000527180.5	
ENST00000315082.9	Q8IXI1
ENST00000525845.5	
ENST00000526975.1	
ENST00000463739.5	
ENST00000592437.5	Q14588
ENST00000534186.5	
ENST00000535542.5	
ENST00000464107.5	
ENST00000517305.4	Q08495
ENST00000432128.5	Q08495
ENST00000308162.10	P23528
ENST00000395159.7	Q9Y5J7
ENST00000461661.1	
ENST00000358242.5	Q08495
ENST00000350549.8	A4D1T9
ENST00000426739.7	Q14588
ENST00000476270.1	
ENST00000543562.1	
ENST00000428359.6	O94956
ENST00000647634.2	Q7Z4W2
ENST00000485808.5	
ENST00000590795.1	
ENST00000672084.1	
ENST00000539414.5	
ENST00000555593.5	Q9Y5J7
ENST00000526839.1	
ENST00000419085.5	
ENST00000556007.6	
ENST00000468175.1	
ENST00000375318.4	Q7Z4W2
ENST00000270349.12	Q01959
ENST00000603453.5	
ENST00000438520.1	A4D1T9
ENST00000441922.6	
ENST00000626402.1	
ENST00000605315.5	
ENST00000371652.9	A5PLL7
ENST00000555061.5	Q9Y5J7
ENST00000452758.1	
ENST00000396227.6	
ENST00000603881.5	
ENST00000556367.6	
ENST00000542341.1	
ENST00000555930.6	
ENST00000297784.9	Q8TDI8
ENST00000555404.5	Q9Y5J7
ENST00000555097.1	
ENST00000308342.7	Q86XE0
ENST00000371650.9	A5PLL7
ENST00000619951.2	P49720
ENST00000651183.1	
ENST00000357156.6	Q9NP97
ENST00000632832.1	
ENST00000418205.2	Q03518
ENST00000589897.1	
ENST00000368910.4	Q6P589
ENST00000331173.6	Q9H0L4
ENST00000645208.2	Q8TDI8
ENST00000631787.1	
ENST00000378982.4	O15481
ENST00000300469.13	Q9NP97
ENST00000560297.5	
ENST00000631987.1	
ENST00000451019.3	P35410
ENST00000371656.3	
ENST00000374846.3	
ENST00000409316.5	
ENST00000645053.1	
ENST00000337750.9	
ENST00000645773.1	
ENST00000275016.3	Q9NYL5
ENST00000520547.3	Q6IS14
ENST00000454498.6	Q8TDX6
ENST00000437162.5	
ENST00000603795.5	
ENST00000592374.6	
ENST00000332246.10	Q8TDX6
ENST00000619708.4	
ENST00000644967.1	
ENST00000574434.5	
ENST00000419235.6	Q9NRW4
ENST00000611037.1	
ENST00000573644.5	
ENST00000433818.6	
ENST00000605035.5	
ENST00000397998.7	Q8TDX6
ENST00000646619.1	
ENST00000605863.5	
ENST00000522854.5	Q8TDX6
ENST00000453505.6	
ENST00000274254.9	Q13309
ENST00000603726.5	
ENST00000486417.5	
ENST00000561983.5	
ENST00000445885.6	Q99942
ENST00000563134.5	
ENST00000340019.4	Q8TDI8
ENST00000519222.5	Q8TDX6
ENST00000465531.1	
ENST00000604971.5	
ENST00000472060.1	
ENST00000371658.3	
ENST00000523262.5	
ENST00000379370.7	O00468
ENST00000591337.6	
ENST00000517494.1	
ENST00000527277.5	
ENST00000520003.5	
ENST00000238497.10	O75351
ENST00000215781.3	P13725
ENST00000652369.1	
ENST00000602841.5	Q9BWG6
ENST00000524213.5	
ENST00000651234.1	
ENST00000403389.1	
ENST00000378981.7	P43366
ENST00000573403.1	P48775
ENST00000403463.1	
ENST00000274255.11	Q13309
ENST00000269221.8	Q96DM3
ENST00000591433.6	
ENST00000508514.5	
ENST00000513151.5	
ENST00000263980.8	P19634
ENST00000509692.5	
ENST00000368905.9	Q9BWG6
ENST00000588059.5	
ENST00000513263.1	
ENST00000242257.14	Q9UI43
ENST00000620552.4	
ENST00000572394.2	
ENST00000486040.1	
ENST00000368902.1	Q9BWG6
ENST00000374086.3	P19634
ENST00000312280.9	Q01453
ENST00000504386.1	
ENST00000374084.2	
ENST00000376862.4	Q9H7V2
ENST00000397548.3	P43366
ENST00000620197.4	Q13309
ENST00000440306.3	Q9UI43
ENST00000295220.10	
ENST00000546211.5	
ENST00000589215.5	
ENST00000463985.6	
ENST00000590868.5	
ENST00000591519.1	
ENST00000395938.6	Q01453
ENST00000587690.5	
ENST00000368908.10	Q96S90
ENST00000368250.5	Q8N1K5
ENST00000589860.5	
ENST00000644020.1	
ENST00000440902.2	Q96S90
ENST00000397550.5	P43366
ENST00000612318.2	Q9BRH9
ENST00000626040.2	
ENST00000413057.6	
ENST00000630369.2	Q8N1K5
ENST00000395936.6	
ENST00000442513.7	
ENST00000590870.5	
ENST00000434358.2	
ENST00000594033.5	
ENST00000338682.8	A5PLL1
ENST00000259939.3	Q7Z419
ENST00000633636.1	
ENST00000378805.7	Q05C16
ENST00000537166.5	Q8N1K5
ENST00000508916.1	
ENST00000494511.6	
ENST00000595396.1	
ENST00000368248.4	Q8N1K5
ENST00000377432.7	P11217
ENST00000643451.1	
ENST00000446175.5	
ENST00000580584.2	
ENST00000646419.1	
ENST00000466891.5	
ENST00000534064.6	Q96HW7
ENST00000426385.3	
ENST00000313766.6	Q8IXL6
ENST00000591806.6	Q2TAK8
ENST00000615148.4	
ENST00000383126.7	P79483
ENST00000588810.6	
ENST00000529807.5	Q96HW7
ENST00000612492.4	Q01453
ENST00000300584.7	Q9UPU7
ENST00000413369.8	Q4G0U5
ENST00000534408.5	
ENST00000409931.7	Q9UPU7
ENST00000164139.4	P11217
ENST00000598644.5	Q4G0U5
ENST00000524766.5	
ENST00000587460.6	
ENST00000378404.4	Q8TDY3
ENST00000594371.1	
ENST00000256079.9	O15397
ENST00000527522.1	
ENST00000242152.7	P01303
ENST00000594141.1	
ENST00000535943.1	Q96HW7
ENST00000415183.7	Q2TAK8
ENST00000540583.5	
ENST00000407573.5	P01303
ENST00000599827.1	
ENST00000435468.1	
ENST00000443972.5	
ENST00000534843.1	
ENST00000405982.1	P01303
ENST00000600951.1	
ENST00000434869.1	
ENST00000326765.10	Q96LR9
ENST00000636603.1	
ENST00000652273.1	
ENST00000627377.1	
ENST00000638106.1	
ENST00000430124.7	P12872
ENST00000637183.1	
ENST00000356591.4	Q96LR9
ENST00000375980.9	Q96C19
ENST00000295314.9	Q9NZQ9
ENST00000635884.1	
ENST00000266003.9	P12872
ENST00000637033.1	
ENST00000445566.1	
ENST00000507738.1	P12872
ENST00000463543.5	
ENST00000441701.1	
ENST00000544829.5	O15397
ENST00000296955.12	Q8N8Z6
ENST00000566214.5	
ENST00000338728.9	Q8N8Z6
ENST00000415985.5	
ENST00000231498.8	O75694
ENST00000563637.5	
ENST00000570280.5	
ENST00000266544.10	Q16795
ENST00000481731.5	
ENST00000486775.5	
ENST00000531972.5	O95967
ENST00000382073.4	Q6EIG7
ENST00000535598.1	
ENST00000603540.2	Q9UKJ8
ENST00000424717.6	
ENST00000359801.8	Q5JXA9
ENST00000535050.1	
ENST00000379923.5	P21399
ENST00000444444.2	Q5JXA9
ENST00000562333.5	
ENST00000394518.6	Q12802
ENST00000381843.6	O75694
ENST00000561929.1	
ENST00000540688.1	
ENST00000411939.5	
ENST00000307179.9	P40818
ENST00000542464.1	
ENST00000526911.1	
ENST00000608073.1	
ENST00000361243.6	Q12802
ENST00000467125.1	
ENST00000367097.8	Q9NRJ4
ENST00000402746.5	Q9Y6D9
ENST00000531645.5	
ENST00000375234.8	Q7RTV5
ENST00000470258.5	
ENST00000560256.1	
ENST00000309951.8	P21399
ENST00000528176.5	
ENST00000396444.7	P40818
ENST00000446045.1	
ENST00000558166.2	
ENST00000569197.2	
ENST00000367094.6	Q9NRJ4
ENST00000541043.5	P21399
ENST00000558811.2	
ENST00000611458.4	
ENST00000307998.11	O95967
ENST00000425032.7	P40818
ENST00000513532.1	
ENST00000560340.5	
ENST00000298838.11	Q9UKS6
ENST00000493373.5	Q99497
ENST00000524408.1	
ENST00000613390.1	
ENST00000532457.5	
ENST00000560676.5	
ENST00000533686.5	
ENST00000507675.1	
ENST00000560579.5	
ENST00000532481.5	Q9H7C9
ENST00000528462.5	
ENST00000526164.5	
ENST00000559486.2	
ENST00000559329.5	
ENST00000338639.10	Q99497
ENST00000535989.1	
ENST00000612418.1	
ENST00000530513.5	
ENST00000493678.5	Q99497
ENST00000526415.5	Q9H7C9
ENST00000377493.9	
ENST00000256389.5	O43506
ENST00000528201.1	
ENST00000560730.5	
ENST00000531226.5	
ENST00000393427.6	Q9H7C9
ENST00000377491.5	Q99497
ENST00000560982.5	
ENST00000525725.5	
ENST00000652272.2	Q8IXH7
ENST00000377488.5	Q99497
ENST00000525967.5	Q8NDH3
ENST00000527134.5	
ENST00000399654.6	Q9Y6D9
ENST00000530405.5	
ENST00000646974.2	P67936
ENST00000652041.1	
ENST00000304716.12	
ENST00000524509.1	
ENST00000525817.5	Q8NDH3
ENST00000406869.5	Q9Y6D9
ENST00000525409.5	
ENST00000469225.1	
ENST00000540979.1	
ENST00000530806.5	
ENST00000618519.4	Q96H55
ENST00000533193.5	
ENST00000539589.5	Q9UKS6
ENST00000561211.5	
ENST00000379600.8	Q5JS37
ENST00000543431.5	
ENST00000558091.5	
ENST00000525034.1	
ENST00000559242.5	
ENST00000646001.1	Q6ZNA5
ENST00000529666.1	
ENST00000561330.1	
ENST00000617957.4	P43630
ENST00000630098.2	
ENST00000379599.6	Q5JS37
ENST00000287474.9	Q6ZNA5
ENST00000633264.1	Q96H55
ENST00000533347.5	
ENST00000557852.2	
ENST00000460601.5	
ENST00000539701.5	
ENST00000617481.1	P43630
ENST00000437877.1	
ENST00000543446.1	
ENST00000537719.5	
ENST00000526624.5	
ENST00000260302.8	P45452
ENST00000527378.1	
ENST00000375510.8	P06681
ENST00000530850.1	
ENST00000632596.1	
ENST00000539309.5	
ENST00000262301.15	Q96S06
ENST00000618409.1	
ENST00000340273.4	
ENST00000358724.4	
ENST00000631888.1	
ENST00000625664.2	
ENST00000356091.11	Q8NDH3
ENST00000615555.4	
ENST00000394510.6	
ENST00000540757.6	Q9NR20
ENST00000352940.8	Q9H0S4
ENST00000525815.6	Q8IXU6
ENST00000444373.6	
ENST00000421113.5	
ENST00000533788.1	
ENST00000525071.5	Q8IXU6
ENST00000368498.7	Q9HD26
ENST00000613929.2	Q96H55
ENST00000545077.1	
ENST00000533664.1	
ENST00000532170.5	
ENST00000375682.8	Q8IXU6
ENST00000545827.6	
ENST00000052569.10	Q9HD26
ENST00000532513.2	
ENST00000543238.5	Q96S06
ENST00000383359.7	
ENST00000648377.1	Q9Y693
ENST00000524991.1	
ENST00000358007.7	Q9H0S4
ENST00000565276.5	
ENST00000535237.2	
ENST00000530122.1	
ENST00000544671.1	
ENST00000379589.4	Q9Y693
ENST00000437394.1	
ENST00000568897.5	
ENST00000010132.6	Q9NR20
ENST00000613166.3	P10645
ENST00000632349.1	
ENST00000280684.3	P17658
ENST00000633104.1	
ENST00000455713.5	
ENST00000378970.5	P51843
ENST00000627311.2	
ENST00000566627.5	
ENST00000602795.6	
ENST00000529857.5	
ENST00000457446.5	
ENST00000570014.5	
ENST00000544400.1	
ENST00000455998.5	
ENST00000532404.6	Q70EL3
ENST00000429779.1	
ENST00000630996.1	
ENST00000673895.1	
ENST00000562226.5	
ENST00000637519.1	
ENST00000633938.1	Q96H55
ENST00000631623.1	
ENST00000568964.5	
ENST00000265854.11	Q9Y6D9
ENST00000562380.5	
ENST00000567595.1	
ENST00000548250.5	
ENST00000633669.1	
ENST00000559105.5	
ENST00000548828.4	
ENST00000399450.6	P01912
ENST00000399450.6	Q30134
ENST00000399450.6	P20039
ENST00000399450.6	Q95IE3
ENST00000399450.6	Q5Y7A7
ENST00000399450.6	Q9GIY3
ENST00000548995.3	P06681
ENST00000632090.1	
ENST00000529349.2	
ENST00000306901.9	P36544
ENST00000633990.1	
ENST00000428566.5	Q95IE3
ENST00000428566.5	Q5Y7A7
ENST00000428566.5	Q9GIY3
ENST00000348367.9	Q9HCL2
ENST00000616326.1	
ENST00000651235.1	
ENST00000633266.1	
ENST00000632422.1	A0A576
ENST00000369425.5	
ENST00000378963.1	
ENST00000454250.7	P36544
ENST00000543115.5	
ENST00000223398.11	Q9UDT6
ENST00000637552.1	
ENST00000230461.11	Q9NV96
ENST00000438954.6	Q29980
ENST00000673730.1	
ENST00000674104.1	
ENST00000673989.1	
ENST00000361545.9	Q9UDT6
ENST00000638031.1	
ENST00000635722.1	
ENST00000245046.6	Q9P0I2
ENST00000464792.1	
ENST00000458032.2	
ENST00000493166.1	
ENST00000252318.7	Q9NY28
ENST00000637350.1	
ENST00000674151.1	
ENST00000542998.5	
ENST00000370050.9	Q9NV96
ENST00000487447.1	
ENST00000272647.9	Q6DCA0
ENST00000542848.5	
ENST00000310638.9	Q02928
ENST00000535354.1	
ENST00000637971.1	
ENST00000393001.1	Q6DCA0
ENST00000437966.3	P36544
ENST00000475111.6	Q9NV96
ENST00000429759.5	
ENST00000637786.1	
ENST00000470827.2	
ENST00000433855.1	
ENST00000674038.1	
ENST00000475477.5	
ENST00000518161.1	
ENST00000636044.1	
ENST00000641622.1	Q8NGX8
ENST00000636850.1	
ENST00000636440.1	
ENST00000462347.5	
